"Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","efg_pct","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","player_stats$link[i]","Year"
"Raul Lopez",21.1287671232877,"Point Guard","2008-09",22.2,2.2,5.5,1,2.6,1.3,2.9,0.491,1.2,1.3,0.3,1.2,1.5,3.2,1,0,1.7,1.9,6.6,954,3.6,8.9,1.5,4.2,2,4.7,2,2.2,0.5,1.9,2.5,5.1,1.6,0,2.8,3.1,10.7,43,"http://www.basketball-reference.com/players/l/lopezra01.html",2009
"Raul Lopez",21.1287671232877,"Point Guard","2009-10",19.6,1.9,4.7,1,2.6,0.9,2.1,0.514,1.4,1.5,0.5,2.2,2.7,3.1,0.8,0,2.1,1.3,6.3,294,3.6,8.7,1.8,4.8,1.7,3.9,2.6,2.8,1,4,5,5.8,1.5,0,3.9,2.3,11.5,15,"http://www.basketball-reference.com/players/l/lopezra01.html",2010
"Raul Lopez",21.1287671232877,"Point Guard","2010-11",22,2.7,5.5,2.1,4,0.6,1.5,0.682,0.7,0.8,0.4,1.7,2.1,3,1.5,0,1,2.8,8.2,220,4.4,9,3.4,6.5,1,2.5,1.1,1.3,0.7,2.8,3.4,4.9,2.5,0,1.6,4.6,13.4,10,"http://www.basketball-reference.com/players/l/lopezra01.html",2011
"Raul Lopez",21.1287671232877,"Point Guard","2011-12",14.8,2,4.5,1.2,2.9,0.8,1.6,0.564,1.4,1.6,0.2,1.1,1.4,1.5,0.7,0,0.9,1.9,6.4,742,4.8,10.9,2.8,6.9,1.9,4,3.3,3.9,0.6,2.7,3.3,3.7,1.8,0,2.1,4.7,15.6,50,"http://www.basketball-reference.com/players/l/lopezra01.html",2012
"Raul Lopez",21.1287671232877,"Point Guard","2012-13",20.5,2.2,5.5,0.9,2.9,1.3,2.6,0.477,1,1.1,0.4,1.4,1.8,3,1,0,1.5,2.6,6.2,821,3.8,9.6,1.5,5,2.3,4.6,1.8,1.8,0.7,2.5,3.2,5.2,1.7,0,2.5,4.6,10.9,40,"http://www.basketball-reference.com/players/l/lopezra01.html",2013
"Raul Lopez",21.1287671232877,"Point Guard","2013-14",25.9,2.9,6.1,1.3,3.1,1.6,3,0.588,1.5,1.6,0.3,2,2.3,3.6,1.2,0,1.3,2.6,8.6,1112,4.1,8.5,1.8,4.4,2.3,4.1,2,2.2,0.5,2.8,3.2,5.1,1.6,0,1.8,3.6,12,43,"http://www.basketball-reference.com/players/l/lopezra01.html",2014
"Raul Lopez",21.1287671232877,"Point Guard","2014-15",18.9,2.8,6.5,1,3.2,1.7,3.3,0.502,1.5,1.7,0.2,0.9,1.2,2.7,0.8,0,1.5,2.5,8,625,5.2,12.4,2,6,3.3,6.3,2.8,3.2,0.5,1.8,2.2,5.1,1.4,0.1,2.8,4.8,15.3,33,"http://www.basketball-reference.com/players/l/lopezra01.html",2015
"Raul Lopez",21.1287671232877,"Point Guard","2015-16",16.2,1.9,5,0.8,2.1,1.1,2.9,0.462,1.1,1.3,0.3,1.2,1.5,2.6,0.7,0,1.5,2.1,5.7,762,4.3,11.1,1.7,4.8,2.5,6.3,2.4,2.8,0.7,2.6,3.3,5.9,1.6,0.1,3.4,4.7,12.6,47,"http://www.basketball-reference.com/players/l/lopezra01.html",2016
"Tony Parker",19.041095890411,"Point Guard","2011-12",31.4,7.5,15.6,1.9,4.1,5.6,11.5,0.54,5.1,6.8,0.5,4.4,4.9,6.1,1.6,0,1.9,1.8,22,251,8.6,17.9,2.2,4.7,6.5,13.2,5.9,7.7,0.6,5,5.6,7,1.9,0,2.2,2,25.2,8,"http://www.basketball-reference.com/players/p/parketo01.html",2012
"Mehmet Okur",22.0164383561644,"Center and Power Forward","2001-02",27.2,4.1,9,0.7,1.8,3.4,7.2,0.489,3.3,4.4,2.4,4.2,6.6,0.9,1,0.8,1.7,3.1,12.1,544,5.4,11.9,0.9,2.4,4.4,9.5,4.3,5.8,3.2,5.5,8.7,1.2,1.3,1.1,2.2,4.1,15.9,20,"http://www.basketball-reference.com/players/o/okurme01.html",2002
"Antonis Fotsis",20.1670091324201,"Power Forward","2002-03",26,4.4,9.1,1.3,3.3,3.1,5.8,0.556,2.6,3,2.3,3.7,6,0.9,1,0.8,2,2.1,12.7,1146,6.1,12.5,1.8,4.5,4.2,8,3.6,4.2,3.1,5.1,8.2,1.3,1.3,1.1,2.7,2.9,17.5,44,"http://www.basketball-reference.com/players/f/fotsian01.html",2003
