"Player","VORP","G","MP","draftYear","link","Amateur"
"Cory Jefferson",-0.4,58,581,2014,"http://www.basketball-reference.com/players/j/jeffeco01.html","College"
"Anthony Bennett",-1.8,150,1902,2013,"http://www.basketball-reference.com/players/b/bennean01.html","College"
"Victor Oladipo",4.4,251,8361,2013,"http://www.basketball-reference.com/players/o/oladivi01.html","College"
"Otto Porter",4,220,5174,2013,"http://www.basketball-reference.com/players/p/porteot01.html","College"
"Cody Zeller",3.3,248,5486,2013,"http://www.basketball-reference.com/players/z/zelleco01.html","College"
"Alex Len",-0.6,223,4452,2013,"http://www.basketball-reference.com/players/l/lenal01.html","College"
"Nerlens Noel",3,150,4368,2013,"http://www.basketball-reference.com/players/n/noelne01.html","College"
"Ben McLemore",-0.8,261,6776,2013,"http://www.basketball-reference.com/players/m/mclembe01.html","College"
"Kentavious Caldwell-Pope",4.2,274,8177,2013,"http://www.basketball-reference.com/players/c/caldwke01.html","College"
"Trey Burke",-0.7,240,6285,2013,"http://www.basketball-reference.com/players/b/burketr01.html","College"
"C.J. McCollum",2.8,217,5507,2013,"http://www.basketball-reference.com/players/m/mccolcj01.html","College"
"Michael Carter-Williams",2.2,199,6402,2013,"http://www.basketball-reference.com/players/c/cartemi01.html","College"
"Steven Adams",4.6,267,6051,2013,"http://www.basketball-reference.com/players/a/adamsst01.html","College"
"Kelly Olynyk",3.8,232,4807,2013,"http://www.basketball-reference.com/players/o/olynyke01.html","College"
"Shabazz Muhammad",-1.7,189,3405,2013,"http://www.basketball-reference.com/players/m/muhamsh01.html","College"
"Giannis Antetokounmpo",8.6,272,8461,2013,"http://www.basketball-reference.com/players/a/antetgi01.html",""
"Lucas Nogueira",1.4,62,773,2013,"http://www.basketball-reference.com/players/n/noguelu01.html","Euro"
"Dennis Schroder",-0.6,241,4864,2013,"http://www.basketball-reference.com/players/s/schrode01.html",""
"Shane Larkin",-0.6,202,4105,2013,"http://www.basketball-reference.com/players/l/larkish01.html","College"
"Sergey Karasev",-0.3,95,1110,2013,"http://www.basketball-reference.com/players/k/karasse01.html","Euro"
"Tony Snell",-0.7,246,4899,2013,"http://www.basketball-reference.com/players/s/snellto01.html","College"
"Gorgui Dieng",6.5,250,6378,2013,"http://www.basketball-reference.com/players/d/dienggo01.html","College"
"Mason Plumlee",6.5,271,6121,2013,"http://www.basketball-reference.com/players/p/plumlma01.html","College"
"Solomon Hill",1.7,203,4413,2013,"http://www.basketball-reference.com/players/h/hillso01.html","College"
"Tim Hardaway",-1.1,235,5144,2013,"http://www.basketball-reference.com/players/h/hardati02.html","College"
"Reggie Bullock",-0.2,120,1204,2013,"http://www.basketball-reference.com/players/b/bullore01.html","College"
"Andre Roberson",2.6,213,4344,2013,"http://www.basketball-reference.com/players/r/roberan03.html","College"
"Rudy Gobert",8.9,224,5717,2013,"http://www.basketball-reference.com/players/g/goberru01.html","Euro"
"Livio Jean-Charles",NA,NA,NA,2013,"http://www.basketball-reference.com/players/j/jeancli01.html","Euro"
